Source Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
United States,206014.2,137480.2,137221.5,137452.6,118765.2,239416.5,152859.2,128531.3,151341.1,104884,138790.5,130747.2,130794.1,160272.3,124106.5,207977.2,163251.9,124255.5,259567.3,227349.6,200163.4,226755.8,3607997
Germany,44518.1,44340.3,43277.6,53338.7,63447.3,78189.6,66788.2,66321.9,69768.6,48048,55006.4,54141.5,45473.7,49116.4,60024.2,72371.4,75752.6,44363.5,73094.1,72756.8,98069.7,68971.8,1347180
Japan,51880.2,85035.4,47039.1,79662.2,48786.9,68545.2,58487.9,52616.5,67895.1,49220.3,66897.3,49881.9,59658.3,49541.1,51752.4,69367.1,48438.8,34518.8,44905.3,44100.2,53572.6,77981.7,1259784
United Kingdom,63560.1,32761.9,45711.6,48732.1,61614.3,83210,69885,63788.7,55478,38621.4,47077.7,34946.7,48998,40159.5,33045.6,49648,57538,43086,59249,76966.2,107943.1,74177.8,1236199
China,12344.5,6159.5,9699.6,16013.1,19110,43121.5,23019.4,18294.7,34927.8,24501.8,45927.5,77532.1,62737.8,109430.1,53197.5,88146.5,64985.4,49419.4,39897.9,51038.7,164305.9,84869.6,1098680
France,30541.4,26599.7,25847.2,43470.4,44077.9,114898.7,51938.8,42334.4,39282.3,52254.1,29206.1,46279.8,35054.3,36653.6,28849,52357.7,45776.8,38338.7,37021.9,78649.7,51377.3,65424.5,1016234
South Korea,14361,16369.2,21934.9,23372.1,20930.9,34225.5,28316.2,29935.8,31096.2,30230.7,19794.7,27305.6,25992.8,32620,27570.4,31597,37582.4,10041.3,33913.9,85327.9,42048.9,65024.4,689592
UAE,2545.8,2094.6,21987.4,30320,21690.2,65425.3,32226,19368.7,12586.1,14838.3,16404.1,18437.8,21139.7,24060.2,15392.2,26573.7,21297.2,9283.5,17410.3,89117.2,70598.4,71490.8,624288
Canada,51341.2,27925.2,44784.9,14398.6,13096.8,46477.2,31237.2,19850.4,26487.4,22613.6,21254.8,28595.8,20317,17444,13345.7,21220.9,23605.8,18281.4,22534,23368.9,47800.1,51213.6,607195
Netherlands,39684.8,23472.1,20008.2,33723.2,22390.5,38276.4,32798.2,31193.5,17427,11170.7,14563.2,18353.6,13635.3,9290.5,17175.9,47016.7,24976.4,19533.7,22060.5,26689.3,34562.1,49549.6,567552
