Source Country,2021,2022,2023,2024,Total,Grade,Calculated Total
Albania,39.700000762939,68.199998617172,0.0,43.349998474121,151.249997854233,B,151.249997854232
Algeria,10.5,30.299999713898,195.699996948242,1.299999952316,237.799996614456,C,237.799996614456
Angola,0.0,3.700000047684,12.25,253.699996948242,269.649996995926,D,269.649996995926
Argentina,473.510002425909,1439.019984788895,3450.470007920265,1163.339995115995,6526.339990251064,D,6526.339990251065
Armenia,17.63,3.400000095367,50.10000038147,16.000000119209,87.130000596046,C,87.13000059604599
Australia,16871.32994959235,36821.300003980694,19880.539921961725,17869.700016327202,91442.869891862,A,91442.86989186198
Austria,6207.379967246057,10946.940010938648,4743.989990983978,5033.890023447573,26932.199992616246,A,26932.199992616257
Azerbaijan,292.881998474121,103.270001716614,1124.900000095367,131.709997177124,1652.761997463226,C,1652.761997463226
Bahamas,20.60000038147,161.499995231628,132.199996948242,81.200000196695,395.499992758036,B,395.499992758035
Bahrain,132.39999871254,190.39999806881,255.599992251396,19.399999976158,597.799989008903,B,597.799989008904
Bangladesh,49.39999961853,47.649999666214,58.350000429899,47.400000095367,202.79999981001,D,202.79999981001
Belarus,147.170002169609,41.20000012219,335.729991912842,32.800000905991,556.899995110631,C,556.8999951106321
Belgium,7899.000006181001,15547.499860598145,14322.41004020989,8831.890028864145,46600.79993585318,A,46600.79993585318
Bosnia-Herzegovina,3.800000049174,3.700000047684,11.399999976158,121.689999401569,140.589999474585,C,140.589999474585
Brazil,2806.490004166365,2320.94400013402,4433.349996650219,2047.05999365449,11607.843994605097,C,11607.843994605093
Bulgaria,118.000000178814,580.109998742342,790.199985980988,275.200004994869,1763.509989897013,B,1763.5099898970132
Cambodia,0.0,1.399999976158,414.199999809265,262.699997425079,678.299997210503,C,678.299997210502
Cameroon,0.0,163.099998474121,1.0,765.200008392334,929.300006866455,D,929.300006866455
Canada,22534.03994558841,23368.930045742098,47800.11622229188,51213.63534740172,144916.72156102414,A,144916.7215610241
Chile,1032.600000336766,3415.970003200769,5462.070021946431,6590.449978500605,16501.09000398457,B,16501.09000398457
China,39897.93193709364,51038.679657369554,164305.9204105841,84869.5599411428,340112.0919461901,B,340112.0919461901
Colombia,746.500011456013,510.330001811981,408.980003385544,126.500000953674,1792.310017607212,C,1792.310017607212
Costa Rica,82.0,117.499996960163,12.000000238419,193.700000762939,405.199997961521,B,405.19999796152103
Cote d Ivoire,0.0,1.899999976158,31.699999332428,24.100000143051,57.699999451637,D,57.699999451637
Croatia,137.250001621246,487.719986410141,197.999998450279,145.599997550249,968.569984031916,B,968.569984031915
Cyprus,1717.121202551079,1154.030012028217,1145.430004839227,986.269991278648,5002.851210697171,B,5002.851210697171
Czech Republic,2524.169999290705,12026.650002007484,3472.579965484738,1921.79997485131,19945.199941634237,A,19945.199941634237
Denmark,11060.629955664575,25241.8031501669,27057.47994740806,18465.359973594546,81825.2730268341,A+,81825.27302683408
Egypt,248.700000393391,253.960001347065,898.31001283288,213.519998073578,1614.490012646914,D,1614.4900126469138
Estonia,721.320010994077,2119.320031849742,1683.810021770001,605.190008163452,5129.640072777271,A,5129.6400727772725
Finland,3316.302324097253,5142.750002923608,4159.180032631159,3283.859987981617,15902.092347633637,A+,15902.092347633637
France,37021.87172244674,78649.73474172913,51377.320792076294,65424.531582057476,232473.4588383097,A,232473.45883830963
Georgia,121.207,39.700000762939,71.699999332428,112.60000038147,345.207000476837,B,345.207000476837
Germany,73094.07143264032,72756.76000738272,98069.65002507686,68971.83641461283,312892.31787971256,A,312892.31787971273
Ghana,1.3,25.699999511242,157.700000524521,172.199993133545,356.899993169308,C,356.899993169308
Greece,554.019998046458,3030.810042641163,1639.900022824109,714.043699417263,5938.773762928993,B,5938.773762928993
Guatemala,12.400000095367,355.300000190735,4.400000095367,126.700000762939,498.800001144409,D,498.80000114440793
Hong Kong,7757.790005823374,10756.950060972573,48790.050067267424,11203.560315459967,78508.35044952334,A+,78508.35044952334
Hungary,669.409984756112,400.179994838238,1716.339970517158,260.900001704693,3046.829951816201,B,3046.8299518162007
Iceland,17.499999701977,54.800000101328,784.510002491474,513.740002781153,1370.550005075931,A+,1370.550005075932
India,11457.61700456646,42080.05599711364,21769.229996270675,17042.480057381094,92349.38305533197,C,92349.38305533187
Indonesia,260.000005531311,742.560003921986,942.199970602989,69.199998378754,2013.959978435039,C,2013.9599784350398
Iraq,1.3,2.200000047684,19.39999961853,8.200000047684,31.099999713898,D,31.099999713898
Ireland,7023.042046099426,9437.59003852844,20300.595169937013,9846.095866408199,46607.32312097307,A+,46607.32312097308
Israel,3234.319978666008,9991.35999117702,6340.859970680996,4539.289748378098,24105.829688902122,B,24105.829688902122
Italy,22389.349833591292,31745.699955429733,27499.20005112596,31825.329995930195,113459.57983607719,B,113459.57983607717
Jamaica,440.899999856949,301.0,17.0,66.100001573563,825.000001430511,B,825.000001430512
Japan,44905.324133418864,44598.63998435377,53572.649337594434,77981.68384227157,221058.29729763864,A+,221058.29729763864
