Country,Year,CAPEX,Exports of goods and services (% of GDP),GDP per capita (current US$),Imports of goods and services (% of GDP),Political Stability and Absence of Violence/Terrorism: Estimate
Albania,2003,,20.16388038,1908.699007,44.65933472,-0.30978024
Albania,2004,16.5,21.55175222,2446.909499,43.4861861,-0.427259684
Albania,2005,,22.44278184,2741.721365,46.67351082,-0.505047977
Albania,2006,,24.50859193,3057.77257,47.69331702,-0.508157313
Albania,2007,,27.13081991,3743.055299,52.78108098,-0.203974649
Albania,2008,,24.58266192,4498.504868,50.66588536,-0.030500913
Albania,2009,,24.64462446,4213.650076,48.6767331,-0.045140512
Albania,2010,105.2,27.60992967,4149.144699,47.9226033,-0.191482902
Albania,2011,,29.0544738,4465.709143,51.64452473,-0.282379419
Albania,2012,,29.11077094,4222.347099,47.85758738,-0.143631592
Albania,2013,,28.86940201,4420.23462,46.88121655,0.091929786
Albania,2014,,28.06834349,4602.230514,46.95285882,0.485986233
Albania,2015,,27.06932246,3981.726623,44.2101252,0.341639042
Albania,2016,,28.66979317,4168.375445,45.34465728,0.337447882
Albania,2017,14.7,31.00179579,4614.047969,45.785586,0.373770744
Albania,2018,409.2,31.11401354,5365.488802,44.58006483,0.366779268
Albania,2019,,30.93612249,5460.430509,44.44600645,0.110105053
Albania,2020,5.8,22.54076327,5370.7775,36.97994862,0.088612519
Albania,2021,39.7,31.13302234,6413.282808,44.45729939,0.196371928
Albania,2022,68.2,37.19708182,6846.426694,47.50097528,0.106261313
Albania,2023,,38.66508083,8575.171346,43.82860173,0.183348969
Algeria,2003,903,35.66906353,2283.772993,22.10007178,-1.754409075
Algeria,2004,,38.39295946,2816.99385,22.96503811,-1.359188437
Algeria,2005,,44.3712829,3233.133396,22.46917732,-0.91366601
Algeria,2006,30.7,45.76413427,3660.661047,20.1511577,-1.126413465
Algeria,2007,44.4,44.72015567,4167.451699,22.82531773,-1.150585532
Algeria,2008,265.7,45.64718181,5180.918815,25.38131044,-1.095846295
Algeria,2009,58.4,32.58600627,4235.429905,31.69874845,-1.196913481
Algeria,2010,,34.98822961,4912.785855,28.50298638,-1.259367585
Algeria,2011,137.5,35.98808641,5916.313644,26.23200355,-1.360560656
Algeria,2012,200,34.382792,6033.648847,26.37484733,-1.325043321
Algeria,2013,14.9,30.79936493,5979.60139,28.35164323,-1.202371478
Algeria,2014,,27.61948637,6094.693923,29.3040556,-1.190535188
Algeria,2015,168.7,20.52814168,4685.059027,32.67648091,-1.090786576
Algeria,2016,5.3,18.48668797,4424.98529,31.27424482,-1.099741936
Algeria,2017,1213.3,20.33367952,4554.66754,29.48713665,-0.919614315
Algeria,2018,303.7,23.42310574,4577.210292,29.01306194,-0.842107713
Algeria,2019,,20.40794195,4468.453419,26.09890066,-1.055853844
Algeria,2020,,15.53520111,3743.541952,24.85455545,-0.847820401
Algeria,2021,10.5,23.44436729,4160.559267,23.39269197,-0.992457151
Algeria,2022,30.3,30.80897855,4961.552577,20.39339719,-0.650652349
Algeria,2023,195.7,23.61953637,5364.02795,20.06337782,-0.57788527
Angola,2003,,54.32133881,992.6989793,49.57989074,-1.00738585
Angola,2004,32.3,58.38035832,1266.210864,45.19958873,-1.063120604
Angola,2005,,65.52626777,1916.468422,41.06469436,-0.885178328
Angola,2006,,63.4678635,2617.05196,31.15729583,-0.539453447
Angola,2007,41.7,67.90578337,3141.04598,40.15428452,-0.666658759
Angola,2008,83.4,72.4750288,4103.0669,48.88967965,-0.361787379
Angola,2009,2.2,58.7573003,3136.64547,63.68884384,-0.347591847
Angola,2010,595,61.54311589,3597.342932,42.58051942,-0.226182342
Angola,2011,,60.66994752,4615.910598,39.31255882,-0.36923781
Angola,2012,347.9,55.94013063,5086.027401,35.85996671,-0.389322549
Angola,2013,70.4,50.74708579,5057.747878,36.06484697,-0.391233474
Angola,2014,297.3,44.69502946,5005.999741,34.63789332,-0.333232045
Angola,2015,9.5,29.75459795,3213.902611,33.13391814,-0.505385816
Angola,2016,,28.12448545,1807.952941,25.24567262,-0.321580082
Angola,2017,302.8,29.004102,2437.259712,23.25272022,-0.387895495
Angola,2018,144.3,40.83628983,2538.591391,25.5417235,-0.347208589
Angola,2019,25.8,40.79075505,2189.855714,17.03878307,-0.368411601
Angola,2020,40,38.31454074,1449.922867,27.62748819,-0.599917889
Angola,2021,,47.74527597,1925.874661,26.71922262,-0.71048075
Angola,2022,3.7,44.3916421,2929.694455,25.29942841,-0.630108535
Angola,2023,12.3,40.83246624,2309.53413,26.16932704,-0.341505051
Argentina,2003,73.5,25.93094293,3320.477751,14.7138051,-0.359838128
Argentina,2004,2046.2,23.84761942,4242.020991,16.84502668,-0.610934913
Argentina,2005,36.6,23.24587673,5067.653423,17.30539424,-0.041774943
Argentina,2006,847.3,23.0266946,5869.38029,17.40678527,0.001967763
Argentina,2007,499.7,22.66275031,7185.251551,18.28242031,0.097796634
Argentina,2008,378.1,22.06090038,8944.110266,18.341773,-0.087755688
Argentina,2009,850.6,19.56098506,8150.23527,14.49614185,-0.234854579
Argentina,2010,1213.5,18.93382341,10260.13131,16.03718986,-0.084797867
Argentina,2011,443.1,18.44920915,12704.28318,16.75694585,0.158993661
Argentina,2012,1395.1,16.23785946,12949.71749,14.28868291,0.103040546
Argentina,2013,1066.4,14.61717339,12963.67577,14.71675561,0.065314263
Argentina,2014,68.1,14.40547859,12233.14441,14.00131506,-0.005121871
Argentina,2015,474.4,10.70565205,13679.6265,11.78057404,0.008764135
Argentina,2016,126.3,12.52709517,12699.96231,13.56679268,0.197749898
Argentina,2017,135,11.32028336,14532.50093,13.96931778,0.162542164
Argentina,2018,2264.7,14.43668575,11752.79989,16.32585021,0.006909812
Argentina,2019,813.9,17.92487838,9955.974787,14.70573667,-0.097823091
Argentina,2020,694.3,16.60541444,8535.59938,13.59828437,-0.071997404
Argentina,2021,473.5,18.06670917,10738.01792,15.0119804,0.000530059
Argentina,2022,1439,16.24801444,13935.68111,15.29969356,-0.09859433
Argentina,2023,3450.5,12.74924578,14187.48273,13.89126635,-0.127517909
Armenia,2003,,30.48299789,882.0301677,49.56836971,0.236966237
Armenia,2004,,28.19074382,1130.087914,44.87989017,-0.116337486
Armenia,2005,30.7,27.31319795,1557.484589,42.82654063,-0.066335395
Armenia,2006,2,22.14598144,2041.652671,38.88415655,-0.26102376
Armenia,2007,,18.18935698,2962.702346,38.7856901,0.150905833
Armenia,2008,45.6,14.26572957,3777.668593,40.27659839,-0.006853028
Armenia,2009,,14.67090075,2820.592655,42.603335,0.227863356
Armenia,2010,7.3,19.74841532,3041.344507,44.89456066,0.071855329
Armenia,2011,69.6,22.52318826,3349.553098,46.9123854,-0.063868985
Armenia,2012,133.9,27.56181148,3511.563997,48.39986448,0.154794976
Armenia,2013,,28.35348514,3680.166922,49.20156302,0.110385142
Armenia,2014,,28.56038166,3852.118006,47.21848531,-0.2971358
Armenia,2015,43.9,29.72539121,3512.393503,41.95668313,-0.256798655
Armenia,2016,,33.74427986,3524.424769,42.3336876,-0.667951107
Armenia,2017,,38.21604566,3869.053739,48.98633088,-0.626211166
Armenia,2018,,39.39289403,4196.005623,53.08021299,-0.451066911
Armenia,2019,3.7,41.35080136,4597.228874,54.76335277,-0.420024991
Armenia,2020,,29.76498692,4268.680933,39.72382062,-0.77164489
Armenia,2021,17.6,35.90643999,4685.179971,43.76344883,-0.804041028
Armenia,2022,3.4,50.22498046,6571.974455,51.1857978,-0.740756273
Armenia,2023,50.1,59.45208567,8125.273958,60.26255729,-0.829278231
Australia,2003,22094.9,19.05721273,23718.13385,21.14435418,0.878117204
Australia,2004,12131.4,17.16246822,30836.73068,19.84714538,0.935463548
Australia,2005,14640.6,18.22437279,34479.76793,20.93637419,0.891707659
Australia,2006,16100,19.85353922,36595.70715,21.70590795,0.9344666
Australia,2007,13217.7,20.18350393,41051.61207,21.8245161,0.92887491
Australia,2008,25448.4,20.14887732,49701.28178,22.69789909,0.954700112
Australia,2009,16146.7,23.01098506,42816.5674,22.72987797,0.855120599
