Country,Year,CAPEX,Exports of goods and services (% of GDP),GDP per capita (current US$),Imports of goods and services (% of GDP),Political Stability and Absence of Violence/Terrorism: Estimate
Argentina,2004,2046.2,23.84761942,4242.020991,16.84502668,-0.610934913
Argentina,2005,36.6,23.24587673,5067.653423,17.30539424,-0.041774943
Argentina,2006,847.3,23.0266946,5869.38029,17.40678527,0.001967763
Argentina,2007,499.7,22.66275031,7185.251551,18.28242031,0.097796634
Argentina,2008,378.1,22.06090038,8944.110266,18.341773,-0.087755688
Argentina,2009,850.6,19.56098506,8150.23527,14.49614185,-0.234854579
Argentina,2010,1213.5,18.93382341,10260.13131,16.03718986,-0.084797867
Argentina,2011,443.1,18.44920915,12704.28318,16.75694585,0.158993661
Argentina,2012,1395.1,16.23785946,12949.71749,14.28868291,0.103040546
Argentina,2013,1066.4,14.61717339,12963.67577,14.71675561,0.065314263
Argentina,2014,68.1,14.40547859,12233.14441,14.00131506,-0.005121871
Argentina,2015,474.4,10.70565205,13679.6265,11.78057404,0.008764135
Argentina,2016,126.3,12.52709517,12699.96231,13.56679268,0.197749898
Argentina,2017,135.0,11.32028336,14532.50093,13.96931778,0.162542164
Argentina,2018,2264.7,14.43668575,11752.79989,16.32585021,0.006909812
Argentina,2019,813.9,17.92487838,9955.974787,14.70573667,-0.097823091
Argentina,2020,694.3,16.60541444,8535.59938,13.59828437,-0.071997404
Argentina,2021,473.5,18.06670917,10738.01792,15.0119804,0.000530059
Argentina,2022,1439.0,16.24801444,13935.68111,15.29969356,-0.09859433
Argentina,2023,3450.5,12.74924578,14187.48273,13.89126635,-0.127517909
Australia,2004,12131.4,17.16246822,30836.73068,19.84714538,0.935463548
Australia,2005,14640.6,18.22437279,34479.76793,20.93637419,0.891707659
Australia,2006,16100.0,19.85353922,36595.70715,21.70590795,0.9344666
Australia,2007,13217.7,20.18350393,41051.61207,21.8245161,0.92887491
Australia,2008,25448.4,20.14887732,49701.28178,22.69789909,0.954700112
Australia,2009,16146.7,23.01098506,42816.5674,22.72987797,0.855120599
Australia,2010,10913.1,19.79626197,52144.66547,20.72532703,0.888859868
Australia,2011,13510.7,21.43724723,62605.60046,20.41388479,0.935710073
Australia,2012,14653.3,21.4931587,68072.87323,21.6711378,0.997997224
Australia,2013,10462.4,19.97656887,68190.701,21.29631015,1.031072974
Australia,2014,14233.2,21.08760339,62544.08738,21.39641963,1.032191992
Australia,2015,11401.4,20.06612629,56739.02653,21.59780564,0.873180687
Australia,2016,9112.1,19.27874425,49888.04108,21.69533522,1.033424497
Australia,2017,6510.6,21.25661748,53901.71454,20.94711419,0.876064062
Australia,2018,14320.7,21.89409054,57196.42208,21.84197454,0.971185446
Australia,2019,12451.6,24.159678,54972.70179,22.0278239,0.917978942
Australia,2020,5457.3,24.02673916,51791.54018,20.63771691,0.862161875
Australia,2021,16871.3,22.05667598,60607.77886,18.24580429,0.835079134
Australia,2022,36821.3,25.53158803,64997.01365,20.2901822,0.983715951
Australia,2023,19880.5,26.79924113,64835.91998,22.42594293,0.917057216
Austria,2004,6742.4,47.2191991,36614.25065,44.25502108,1.0896492
Austria,2005,7747.2,48.95115167,38157.37023,45.72360311,1.103950024
Austria,2006,14255.3,51.20315593,40382.20783,47.58256938,1.07445085
Austria,2007,12609.1,52.89048324,46622.96229,48.4744752,1.284419298
Austria,2008,20465.5,53.59839134,51581.39824,49.14531302,1.339270592
Austria,2009,8245.5,45.48691068,47857.44466,42.11358242,1.190873981
Austria,2010,7148.7,51.58398211,46611.13934,48.06090044,1.152648211
Austria,2011,7234.9,54.29207688,51116.89535,51.48302149,1.193521619
Austria,2012,4151.3,54.32549244,48250.40591,51.51529895,1.340566874
Austria,2013,5027.0,53.88982099,50305.35458,51.09555303,1.364100575
Austria,2014,4251.0,53.8561571,51314.97226,50.64058289,1.270700455
Austria,2015,4219.9,53.39601227,43915.22802,49.72156947,1.129330516
Austria,2016,4434.2,52.66340208,45061.49939,48.91009251,0.892175972
Austria,2017,6408.8,54.32602968,47163.74258,51.23003708,1.02962482
Austria,2018,10032.2,55.70223947,51194.07498,52.6757305,0.884860396
Austria,2019,6743.2,55.89580739,49885.99474,52.31147751,0.892189026
Austria,2020,4469.2,51.66308997,48716.40989,48.28512414,0.887600899
Austria,2021,6207.4,55.9533597,53648.71907,55.07890903,0.899554431
Austria,2022,10946.9,61.96267341,52176.66491,62.42077807,0.648710012
Austria,2023,4744.0,59.46456662,56033.57379,57.34935279,0.727989197
Azerbaijan,2004,6.4,48.78900846,1045.013633,72.71810743,-1.059811115
Azerbaijan,2005,225.0,62.94110601,1578.36733,52.9007786,-1.124819398
Azerbaijan,2006,41.2,66.50414484,2472.957257,38.75825501,-1.092682362
Azerbaijan,2007,4259.2,68.12891169,3851.330152,28.51289646,-0.625996411
Azerbaijan,2008,1094.9,65.77613785,5574.468104,23.46675902,-0.330349982
Azerbaijan,2009,3334.5,51.63574568,4950.39949,23.108296,-0.277853519
Azerbaijan,2010,330.7,54.30472154,5843.533768,20.68126693,-0.238546923
Azerbaijan,2011,78.5,56.42698053,7189.818692,24.08106448,-0.532135963
Azerbaijan,2012,2008.5,52.97468019,7495.865277,25.28838935,-0.715751827
