Country Name,Country Code,Average_Score,Final_Grade
Singapore,SGP,0.783824504,A+
Luxembourg,LUX,0.74463522,A+
Switzerland,CHE,0.717103535,A+
"Hong Kong SAR, China",HKG,0.700205627,A+
Ireland,IRL,0.689467316,A+
"Macao SAR, China",MAC,0.680037902,A+
Norway,NOR,0.678803532,A+
Denmark,DNK,0.67339393,A+
United Arab Emirates,ARE,0.653139107,A+
Qatar,QAT,0.653028029,A+
Iceland,ISL,0.648588624,A+
Netherlands,NLD,0.646577348,A+
Sweden,SWE,0.633009262,A+
Japan,JPN,0.62502148,A+
Finland,FIN,0.623053911,A
New Zealand,NZL,0.61519333,A
Malta,MLT,0.612744154,A
Belgium,BEL,0.60899998,A
Australia,AUS,0.607544896,A
Austria,AUT,0.605742286,A
Canada,CAN,0.604415054,A
Germany,DEU,0.601519425,A
Estonia,EST,0.599953786,A
Czechia,CZE,0.5963466,A
"Korea, Rep.",KOR,0.5956048,A
Seychelles,SYC,0.591122899,A
Saudi Arabia,SAU,0.588038578,A
Slovenia,SVN,0.586673794,A
Uruguay,URY,0.584477163,A
United Kingdom,GBR,0.582570985,A
Lithuania,LTU,0.578402293,A
Kuwait,KWT,0.570985535,A
France,FRA,0.564511202,A
Portugal,PRT,0.563643395,A
"Bahamas, The",BHS,0.563541171,B
Cyprus,CYP,0.563514563,B
Latvia,LVA,0.559856803,B
Malaysia,MYS,0.557935738,B
United States,USA,0.55517546,B
Hungary,HUN,0.552015102,B
Spain,ESP,0.551637453,B
Israel,ISR,0.550504675,B
Croatia,HRV,0.548998415,B
Bahrain,BHR,0.548193677,B
Poland,POL,0.546076727,B
Slovak Republic,SVK,0.544794165,B
Mauritius,MUS,0.543132525,B
Italy,ITA,0.537763467,B
Oman,OMN,0.533158794,B
Chile,CHL,0.531742203,B
Costa Rica,CRI,0.529843491,B
Cabo Verde,CPV,0.527742155,B
Botswana,BWA,0.521427741,B
Antigua and Barbuda,ATG,0.520052118,B
Guyana,GUY,0.516882596,B
Bulgaria,BGR,0.515263625,B
Trinidad and Tobago,TTO,0.515032699,B
Samoa,WSM,0.511284989,B
Romania,ROU,0.509321157,B
Jamaica,JAM,0.505779538,B
Georgia,GEO,0.505355918,B
Greece,GRC,0.500721406,B
Montenegro,MNE,0.499300059,B
North Macedonia,MKD,0.499006297,B
China,CHN,0.497459303,B
Viet Nam,VNM,0.496016765,B
Jordan,JOR,0.495965409,B
Thailand,THA,0.493393314,B
Albania,ALB,0.489667165,C
Serbia,SRB,0.488867823,C
Kazakhstan,KAZ,0.486275226,C
Mongolia,MNG,0.48437563,C
Panama,PAN,0.481488489,C
Dominican Republic,DOM,0.478419437,C
Belize,BLZ,0.474172198,C
Suriname,SUR,0.473647502,C
Russian Federation,RUS,0.471180231,C
Morocco,MAR,0.468679697,C
Uzbekistan,UZB,0.466740695,C
Azerbaijan,AZE,0.460846374,C
Armenia,ARM,0.458385141,C
Argentina,ARG,0.456785197,C
Algeria,DZA,0.454245686,C
Brazil,BRA,0.451174588,C
Indonesia,IDN,0.450187307,C
Philippines,PHL,0.447956201,C
Peru,PER,0.447547264,C
Paraguay,PRY,0.446014294,C
Moldova,MDA,0.44491932,C
Turkiye,TUR,0.4442636,C
Colombia,COL,0.443662717,C
Bosnia and Herzegovina,BIH,0.44337712,C
Belarus,BLR,0.442173209,C
India,IND,0.441730246,C
Tunisia,TUN,0.439069357,C
El Salvador,SLV,0.434775253,C
Ghana,GHA,0.434587286,C
Namibia,NAM,0.434539068,C
Mexico,MEX,0.432751965,C
Ecuador,ECU,0.431451112,C
South Africa,ZAF,0.43095572,C
Timor-Leste,TLS,0.426151044,C
Cambodia,KHM,0.424250643,D
Solomon Islands,SLB,0.419436493,D
Bolivia,BOL,0.416542873,D
Kyrgyz Republic,KGZ,0.410339834,D
"Egypt, Arab Rep.",EGY,0.405215272,D
Guatemala,GTM,0.40464599,D
Nepal,NPL,0.399801735,D
Ukraine,UKR,0.399246906,D
Rwanda,RWA,0.397483143,D
Honduras,HND,0.396474707,D
Sri Lanka,LKA,0.394036557,D
Nicaragua,NIC,0.388195348,D
Lebanon,LBN,0.382311492,D
"Gambia, The",GMB,0.381418072,D
Iraq,IRQ,0.380986106,D
West Bank and Gaza,PSE,0.364755673,D
Cote d'Ivoire,CIV,0.362191984,D
Bangladesh,BGD,0.359916639,D
Zambia,ZMB,0.35401886,D
Kenya,KEN,0.345737359,D
Angola,AGO,0.338752045,D
Mauritania,MRT,0.332409384,D
Guinea,GIN,0.319160601,D
"Congo, Rep.",COG,0.31574875,D
Cameroon,CMR,0.310418983,D
Pakistan,PAK,0.310412913,D
Papua New Guinea,PNG,0.297637735,D
Uganda,UGA,0.288251915,D
Nigeria,NGA,0.283843045,D
Madagascar,MDG,0.281698202,D
Zimbabwe,ZWE,0.26763851,D
Mozambique,MOZ,0.266877271,D
Burkina Faso,BFA,0.235137923,D
Burundi,BDI,0.182905133,D
