Country Name,Country Code,Year,Composite_Score,Grade,Continent
Albania,ALB,2021,0.483526518,C,Europe
Algeria,DZA,2021,0.432169878,C,Africa
Angola,AGO,2021,0.334836888,D,Africa
Antigua and Barbuda,ATG,2021,0.510300074,B,North America
Argentina,ARG,2021,0.470285764,C,South America
Armenia,ARM,2021,0.451003103,C,Asia
Australia,AUS,2021,0.598681652,A,Oceania
Austria,AUT,2021,0.610669092,A,Europe
Azerbaijan,AZE,2021,0.463628945,C,Asia
"Bahamas, The",BHS,2021,0.558318574,B,North America
Bahrain,BHR,2021,0.539554536,B,Asia
Bangladesh,BGD,2021,0.36280939,D,Asia
Belarus,BLR,2021,0.450979782,C,Europe
Belgium,BEL,2021,0.612237122,A,Europe
Belize,BLZ,2021,0.468015488,C,North America
Bolivia,BOL,2021,0.419173368,D,South America
Bosnia and Herzegovina,BIH,2021,0.443537741,C,Europe
Botswana,BWA,2021,0.522108329,B,Africa
Brazil,BRA,2021,0.456201,C,South America
Bulgaria,BGR,2021,0.511581031,B,Europe
Burkina Faso,BFA,2021,0.244592546,D,Africa
Burundi,BDI,2021,0.185647513,D,Africa
Cabo Verde,CPV,2021,0.517031891,B,Africa
Cambodia,KHM,2021,0.402203162,D,Asia
Cameroon,CMR,2021,0.305699884,D,Africa
Canada,CAN,2021,0.606671141,A,North America
Chile,CHL,2021,0.535985438,B,South America
China,CHN,2021,0.500694721,B,Asia
Colombia,COL,2021,0.441927233,C,South America
"Congo, Rep.",COG,2021,0.311080103,D,Africa
Costa Rica,CRI,2021,0.524910207,B,North America
Cote d'Ivoire,CIV,2021,0.356325345,D,Africa
Croatia,HRV,2021,0.555575837,B,Europe
Cyprus,CYP,2021,0.562666643,B,Europe
Czechia,CZE,2021,0.599617074,A,Europe
Denmark,DNK,2021,0.670602298,A+,Europe
Dominican Republic,DOM,2021,0.483585644,C,North America
Ecuador,ECU,2021,0.4406068,C,South America
"Egypt, Arab Rep.",EGY,2021,0.399132371,D,Africa
El Salvador,SLV,2021,0.436070863,C,North America
Estonia,EST,2021,0.605101294,A,Europe
Finland,FIN,2021,0.628924932,A,Europe
France,FRA,2021,0.56755948,A,Europe
"Gambia, The",GMB,2021,0.382413486,D,Africa
Georgia,GEO,2021,0.497841664,B,Asia
Germany,DEU,2021,0.605295511,A,Europe
Ghana,GHA,2021,0.439161243,C,Africa
Greece,GRC,2021,0.499842222,B,Europe
Guatemala,GTM,2021,0.404421441,D,North America
Guinea,GIN,2021,0.325531128,D,Africa
Guyana,GUY,2021,0.468817088,C,South America
Honduras,HND,2021,0.398181998,D,North America
"Hong Kong SAR, China",HKG,2021,0.701483238,A+,Asia
Hungary,HUN,2021,0.558714782,B,Europe
Iceland,ISL,2021,0.651933219,A+,Europe
India,IND,2021,0.438127965,C,Asia
Indonesia,IDN,2021,0.443354718,C,Asia
Iraq,IRQ,2021,0.365310317,D,Asia
Ireland,IRL,2021,0.693588797,A+,Europe
Israel,ISR,2021,0.562796274,A,Asia
Italy,ITA,2021,0.530800121,B,Europe
Jamaica,JAM,2021,0.503161092,B,North America
Japan,JPN,2021,0.624970513,A,Asia
Jordan,JOR,2021,0.488955379,B,Asia
Kazakhstan,KAZ,2021,0.485225014,C,Asia
Kenya,KEN,2021,0.34785415,D,Africa
"Korea, Rep.",KOR,2021,0.597916196,A,Asia
Kuwait,KWT,2021,0.560608359,B,Asia
Kyrgyz Republic,KGZ,2021,0.418839331,D,Asia
Latvia,LVA,2021,0.567362669,A,Europe
Lebanon,LBN,2021,0.395469151,D,Asia
Lithuania,LTU,2021,0.583593407,A,Europe
Luxembourg,LUX,2021,0.75879068,A+,Europe
"Macao SAR, China",MAC,2021,0.665829442,A+,Asia
Madagascar,MDG,2021,0.281838487,D,Africa
Malaysia,MYS,2021,0.551244133,B,Asia
Malta,MLT,2021,0.633199714,A+,Europe
Mauritania,MRT,2021,0.32066115,D,Africa
Mauritius,MUS,2021,0.535625345,B,Africa
Mexico,MEX,2021,0.430504903,C,North America
Moldova,MDA,2021,0.455693724,C,Europe
Mongolia,MNG,2021,0.477466911,C,Asia
Montenegro,MNE,2021,0.498199205,B,Europe
Morocco,MAR,2021,0.467921442,C,Africa
